employer_code,employer_name,employer_type,industry,city,region,city_tier,base_salary,growth_factor,major_preference_strength,skill_preference_strength,hire_threshold,cross_major_tolerance,salary_elasticity,threshold_relax_speed,tolerance_increase_speed,stability
E0001,Employer_1,cost_sensitive,Internet,City_4,South,0.9477,8.4,0.959,0.5216,0.7535,0.6311,0.641,0.0411,0.0274,0.0401,0.6306
E0002,Employer_2,growth_firm,Finance,City_12,West,0.7863,13.8,1.1317,0.721,0.856,0.705,0.6767,0.0842,0.0508,0.0278,0.4677
E0003,Employer_3,growth_firm,Healthcare,City_17,West,0.7121,22.23,1.3658,0.6495,0.781,0.6879,0.5876,0.0786,0.0324,0.0349,0.4822
E0004,Employer_4,growth_firm,Education,City_5,South,0.5981,22.28,1.2643,0.6899,0.7592,0.6106,0.4029,0.1174,0.0289,0.0349,0.3657
E0005,Employer_5,tech_strict,Healthcare,City_14,Central,0.8184,22.84,1.1764,0.9316,0.9351,0.7138,0.2012,0.0712,0.0124,0.021,0.5237
E0006,Employer_6,tech_strict,Finance,City_14,North,0.8387,15.1,1.1474,0.9377,0.931,0.825,0.4395,0.0433,0.0364,0.0259,0.6339
E0007,Employer_7,traditional_firm,Education,City_3,South,0.871,17.51,0.9971,0.8521,0.6543,0.5769,0.4576,0.0219,0.0368,0.0317,0.7567
E0008,Employer_8,growth_firm,Finance,City_15,South,0.4315,15.86,1.2249,0.7885,0.815,0.6001,0.4557,0.1051,0.0415,0.035,0.3535
E0009,Employer_9,growth_firm,Finance,City_17,West,0.8037,21.61,1.4764,0.7222,0.8227,0.587,0.5196,0.0817,0.0453,0.0404,0.473
E0010,Employer_10,tech_strict,Internet,City_2,North,0.64,26.25,1.2263,0.8132,0.89,0.8246,0.3468,0.0652,0.0387,0.029,0.5851
E0011,Employer_11,growth_firm,Construction,City_2,North,0.8468,19.15,1.2994,0.7608,0.8872,0.7466,0.4472,0.0779,0.0348,0.0349,0.541
E0012,Employer_12,growth_firm,Finance,City_7,North,0.8551,21.25,1.2043,0.7972,0.8686,0.7006,0.6343,0.114,0.0497,0.0484,0.4666
E0013,Employer_13,growth_firm,Internet,City_2,Central,0.8396,23.14,1.1668,0.788,0.7549,0.6354,0.5985,0.0704,0.0532,0.0287,0.5778
E0014,Employer_14,cost_sensitive,Education,City_8,Central,0.7054,8.69,0.9682,0.6611,0.6409,0.5133,0.8062,0.0253,0.0391,0.0331,0.6842
E0015,Employer_15,tech_strict,Manufacturing,City_16,West,0.6889,25.54,1.1297,0.9117,0.8619,0.7592,0.4232,0.0784,0.0365,0.0372,0.5758
E0016,Employer_16,tech_strict,Education,City_2,South,0.613,18.92,1.1516,0.9285,0.9189,0.8249,0.2349,0.0552,0.0205,0.0245,0.5794
E0017,Employer_17,growth_firm,Finance,City_9,Central,0.9328,13.16,1.4683,0.7191,0.786,0.6189,0.4247,0.0863,0.0388,0.0512,0.3848
E0018,Employer_18,traditional_firm,Construction,City_8,West,0.8415,15.8,1.0028,0.8294,0.827,0.6008,0.4867,0.0331,0.0217,0.0271,0.7887
E0019,Employer_19,growth_firm,Internet,City_10,North,0.754,16.04,1.2368,0.7709,0.8952,0.5614,0.6733,0.0941,0.0358,0.0363,0.3531
E0020,Employer_20,traditional_firm,Construction,City_20,Central,0.8122,16.67,0.9959,0.8546,0.8157,0.6149,0.3527,0.0454,0.01,0.0249,0.7378
E0021,Employer_21,growth_firm,Construction,City_6,East,0.6891,17.0,1.1663,0.7014,0.791,0.637,0.6215,0.0901,0.0422,0.0332,0.4429
E0022,Employer_22,traditional_firm,Education,City_5,South,0.491,17.28,0.9617,0.8668,0.7551,0.6734,0.3021,0.0492,0.0243,0.0222,0.799
E0023,Employer_23,tech_strict,Finance,City_18,South,0.8855,15.39,1.2637,0.8267,0.8517,0.7167,0.2513,0.0376,0.0281,0.0114,0.6319
E0024,Employer_24,traditional_firm,Construction,City_2,Central,0.6425,16.21,1.0182,0.8368,0.6736,0.6914,0.4511,0.0355,0.0126,0.031,0.8522
E0025,Employer_25,tech_strict,Healthcare,City_9,Central,0.6269,17.51,1.1546,0.8396,0.9331,0.7927,0.4331,0.0671,0.0189,0.0178,0.5208
E0026,Employer_26,cost_sensitive,Education,City_12,East,0.5917,13.07,0.9716,0.579,0.7668,0.5364,0.6833,0.0145,0.0218,0.0488,0.6887
E0027,Employer_27,traditional_firm,Healthcare,City_3,North,0.6321,12.9,0.9563,0.8436,0.6946,0.5888,0.5063,0.0393,0.0387,0.0209,0.7926
E0028,Employer_28,cost_sensitive,Manufacturing,City_9,Central,0.4512,11.22,1.0132,0.7473,0.6924,0.4652,0.7489,0.0408,0.0249,0.0392,0.6427
E0029,Employer_29,cost_sensitive,Construction,City_12,West,0.7775,10.44,1.0091,0.5584,0.7266,0.5528,0.8173,0.0315,0.0359,0.0257,0.5672
E0030,Employer_30,cost_sensitive,Education,City_10,East,0.8367,12.42,1.027,0.588,0.7331,0.5911,0.7589,0.0264,0.0303,0.0403,0.7073
E0031,Employer_31,growth_firm,Education,City_14,South,0.4654,15.68,1.1565,0.6419,0.7552,0.5687,0.4958,0.0919,0.0389,0.0555,0.3884
E0032,Employer_32,cost_sensitive,Finance,City_19,Central,0.7987,8.56,1.0089,0.606,0.7329,0.5265,0.6688,0.0254,0.0227,0.0313,0.5188
E0033,Employer_33,traditional_firm,Healthcare,City_10,West,0.7437,16.2,1.0119,0.8403,0.8122,0.728,0.3568,0.0287,0.0322,0.0134,0.8394
E0034,Employer_34,cost_sensitive,Education,City_1,Central,0.7536,12.1,1.037,0.6044,0.7392,0.6106,0.6401,0.0125,0.0433,0.024,0.6712
E0035,Employer_35,tech_strict,Finance,City_17,West,0.6728,21.23,1.1862,0.9091,0.9509,0.8158,0.4095,0.0416,0.0346,0.02,0.4582
E0036,Employer_36,traditional_firm,Finance,City_14,West,0.4896,11.99,1.076,0.8109,0.7547,0.5866,0.3055,0.0373,0.0219,0.0224,0.8562
E0037,Employer_37,tech_strict,Manufacturing,City_14,South,0.9293,22.91,1.123,0.8498,0.9734,0.8393,0.4383,0.05,0.0193,0.0271,0.5507
E0038,Employer_38,growth_firm,Finance,City_3,North,0.8045,14.28,1.368,0.7992,0.8212,0.6599,0.6826,0.0682,0.0227,0.0217,0.4793
E0039,Employer_39,tech_strict,Education,City_2,West,0.667,14.63,1.1498,0.809,0.914,0.7669,0.2672,0.0551,0.014,0.0181,0.5214
E0040,Employer_40,tech_strict,Manufacturing,City_10,West,0.8636,22.67,1.1689,0.9027,0.9013,0.711,0.3739,0.0458,0.0329,0.0293,0.6036
E0041,Employer_41,tech_strict,Finance,City_3,East,0.4632,21.16,1.1521,0.9368,0.9215,0.7073,0.2681,0.0702,0.0102,0.0296,0.4925
E0042,Employer_42,tech_strict,Finance,City_6,North,0.8102,16.31,1.2844,0.8354,0.858,0.7914,0.4354,0.0312,0.0115,0.0242,0.5447
E0043,Employer_43,tech_strict,Finance,City_19,South,0.7736,18.6,1.2169,0.8644,0.9033,0.8453,0.2477,0.0394,0.0312,0.0342,0.5822
E0044,Employer_44,traditional_firm,Construction,City_5,South,0.4282,10.97,1.0053,0.8188,0.6858,0.73,0.4182,0.0481,0.0199,0.0248,0.7048
E0045,Employer_45,cost_sensitive,Education,City_1,West,0.588,11.12,0.9704,0.6929,0.643,0.5024,0.6166,0.0257,0.0297,0.0448,0.5571
E0046,Employer_46,tech_strict,Finance,City_11,West,0.4263,18.51,1.2134,0.8236,0.9266,0.7346,0.4478,0.0534,0.0244,0.0229,0.6121
E0047,Employer_47,tech_strict,Internet,City_6,Central,0.4872,25.41,1.1428,0.8531,0.9331,0.8485,0.441,0.0427,0.0178,0.0145,0.4574
E0048,Employer_48,growth_firm,Education,City_1,West,0.7294,13.43,1.393,0.6826,0.8851,0.6553,0.6265,0.0651,0.0509,0.0474,0.3821
E0049,Employer_49,cost_sensitive,Healthcare,City_4,West,0.5531,10.27,0.9711,0.7243,0.735,0.5784,0.687,0.0286,0.0327,0.027,0.7224
E0050,Employer_50,traditional_firm,Finance,City_20,Central,0.6261,11.61,0.9952,0.7829,0.7033,0.7348,0.5249,0.0372,0.0246,0.0328,0.8975
E0051,Employer_51,tech_strict,Finance,City_3,East,0.6905,25.48,1.1349,0.8696,0.8758,0.7486,0.284,0.0687,0.037,0.0218,0.602
E0052,Employer_52,growth_firm,Finance,City_19,South,0.9395,12.47,1.4606,0.7628,0.8742,0.5523,0.544,0.0859,0.0252,0.0592,0.4434
E0053,Employer_53,growth_firm,Internet,City_10,East,0.8056,17.2,1.3249,0.7999,0.8514,0.7032,0.4262,0.0782,0.0538,0.0268,0.3754
E0054,Employer_54,traditional_firm,Construction,City_6,West,0.8783,10.88,1.0972,0.7984,0.6697,0.618,0.5013,0.0468,0.0315,0.0207,0.8811
E0055,Employer_55,traditional_firm,Education,City_15,East,0.7464,10.9,1.0769,0.85,0.7584,0.5507,0.313,0.0545,0.0106,0.0248,0.8309
E0056,Employer_56,growth_firm,Manufacturing,City_3,South,0.7912,18.84,1.2958,0.6261,0.8311,0.5771,0.5647,0.0646,0.0221,0.0525,0.3616
E0057,Employer_57,cost_sensitive,Manufacturing,City_15,West,0.7392,10.56,0.9625,0.5409,0.6335,0.517,0.8352,0.0459,0.0408,0.0303,0.6646
E0058,Employer_58,tech_strict,Manufacturing,City_9,North,0.9438,17.56,1.2918,0.8219,0.9272,0.7031,0.4277,0.0733,0.0297,0.018,0.5154
E0059,Employer_59,growth_firm,Construction,City_9,West,0.7546,14.72,1.1543,0.631,0.8596,0.6233,0.5531,0.105,0.0586,0.0236,0.4964
E0060,Employer_60,traditional_firm,Construction,City_18,East,0.5104,16.68,1.0882,0.8127,0.6972,0.5684,0.4583,0.0501,0.031,0.0106,0.7647
